RR Monitoring Started at Mon Aug  4 11:42:48 PM IST 2025
================================================
Timestamp,Domain,Run,TW6,TW7,TW8,TW9,TW10,TW11,TW12,TW13,TW19,TW20,TW21,TW22,TW23,TW24,RR_RTT_ms,Status
2025-08-04 23:49:42,youtube.com,93,1754331577.397391,1754331577.397707,1754331577.404812,1754331577.405049,,1754331577.405618,,,,,,1754331577.405654,1754331577.407623,1754331577.407628,10.35,SUCCESS
2025-08-04 23:49:50,youtube.com,94,1754331580.621445,1754331580.621864,1754331580.626086,1754331580.626317,,1754331580.626846,,,,,,1754331580.626878,1754331580.628961,1754331580.628965,7.59,SUCCESS
2025-08-04 23:49:51,youtube.com,95,1754331583.839052,1754331583.839322,1754331583.845762,1754331583.845988,,1754331583.846458,,,,,,1754331583.846487,1754331583.848547,1754331583.848553,9.58,SUCCESS
2025-08-04 23:49:51,youtube.com,96,1754331587.046574,1754331587.046789,1754331587.051004,1754331587.051219,,1754331587.051746,,,,,,1754331587.051782,1754331587.053772,1754331587.053776,7.29,SUCCESS
2025-08-04 23:50:00,youtube.com,97,1754331590.252221,1754331590.252611,1754331590.258661,1754331590.258878,,1754331590.259361,,,,,,1754331590.259408,1754331590.261326,1754331590.261330,9.18,SUCCESS
2025-08-04 23:50:00,youtube.com,98,1754331593.471430,1754331593.471661,1754331593.477873,1754331593.478087,,1754331593.478641,,,,,,1754331593.478676,1754331593.480744,1754331593.480752,9.40,SUCCESS
2025-08-04 23:50:01,youtube.com,99,1754331596.693252,1754331596.693475,1754331596.699400,1754331596.699625,,1754331596.700099,,,,,,1754331596.700128,1754331596.702084,1754331596.702089,8.92,SUCCESS
2025-08-04 23:50:07,youtube.com,100,1754331599.908786,1754331599.909086,1754331599.913806,1754331599.914068,,1754331599.914618,,,,,,1754331599.914655,1754331599.917138,1754331599.917144,8.44,SUCCESS
2025-08-04 23:50:07,roydns.xyz,101,1754331603.140306,1754331603.140531,1754331603.148384,,,,,,1754331603.393590,,,1754331603.393602,1754331603.395331,1754331603.395334,255.09,SUCCESS
2025-08-04 23:50:14,roydns.xyz,102,1754331606.602521,1754331606.602665,1754331606.609633,,,,,,1754331606.868374,,,1754331606.868387,1754331606.869985,1754331606.869987,267.50,SUCCESS
2025-08-04 23:50:14,roydns.xyz,103,1754331610.081740,1754331610.082016,1754331610.087049,,,,,,1754331610.350963,,,1754331610.350976,1754331610.352635,1754331610.352638,270.95,SUCCESS
2025-08-04 23:50:21,roydns.xyz,104,1754331613.558169,1754331613.558406,1754331613.566617,,,,,,1754331613.835567,,,1754331613.835578,1754331613.837179,1754331613.837181,279.05,SUCCESS
2025-08-04 23:50:21,roydns.xyz,105,1754331617.060939,1754331617.061141,1754331617.069012,,,,,,1754331617.283866,,,1754331617.283876,1754331617.285603,1754331617.285605,224.72,SUCCESS
2025-08-04 23:50:27,roydns.xyz,106,1754331620.491733,1754331620.491999,1754331620.497756,,,,,,1754331620.735432,,,1754331620.735442,1754331620.737033,1754331620.737036,245.35,SUCCESS
2025-08-04 23:50:28,roydns.xyz,107,1754331623.951517,1754331623.951840,1754331623.958991,,,,,,1754331624.227719,,,1754331624.227730,1754331624.229332,1754331624.229335,277.88,SUCCESS
2025-08-04 23:50:34,roydns.xyz,108,1754331627.434269,1754331627.434471,1754331627.442221,,,,,,1754331627.684950,,,1754331627.684962,1754331627.686575,1754331627.686578,252.35,SUCCESS
2025-08-04 23:50:35,roydns.xyz,109,1754331630.899063,1754331630.899300,1754331630.903580,,,,,,1754331631.120576,,,1754331631.120588,1754331631.122315,1754331631.122318,223.34,SUCCESS
2025-08-04 23:50:41,roydns.xyz,110,1754331634.333133,1754331634.333353,1754331634.341356,,,,,,1754331634.562767,,,1754331634.562778,1754331634.564376,1754331634.564377,231.29,SUCCESS
2025-08-04 23:50:42,roydns.xyz,111,1754331637.775085,1754331637.775333,1754331637.779718,,,,,,1754331638.069818,,,1754331638.069831,1754331638.071896,1754331638.071900,296.89,SUCCESS
2025-08-04 23:50:48,roydns.xyz,112,1754331641.279804,1754331641.280085,1754331641.284132,,,,,,1754331641.521950,,,1754331641.521962,1754331641.523562,1754331641.523565,243.81,SUCCESS
2025-08-04 23:50:49,roydns.xyz,113,1754331644.730634,1754331644.730978,1754331644.738142,,,,,,1754331644.958390,,,1754331644.958401,1754331644.960289,1754331644.960292,229.71,SUCCESS
2025-08-04 23:50:55,roydns.xyz,114,1754331648.182713,1754331648.183142,1754331648.190899,,,,,,1754331648.476560,,,1754331648.476571,1754331648.478165,1754331648.478168,295.50,SUCCESS
2025-08-04 23:50:56,roydns.xyz,115,1754331651.703328,1754331651.703711,1754331651.710845,,,,,,1754331651.995219,,,1754331651.995231,1754331651.997182,1754331651.997185,293.94,SUCCESS
2025-08-04 23:51:02,roydns.xyz,116,1754331655.213359,1754331655.213731,1754331655.218490,,,,,,1754331655.508975,,,1754331655.508986,1754331655.510593,1754331655.510596,297.28,SUCCESS
2025-08-04 23:51:03,roydns.xyz,117,1754331658.724857,1754331658.725208,1754331658.730773,,,,,,1754331658.946733,,,1754331658.946743,1754331658.948484,1754331658.948487,223.68,SUCCESS
2025-08-04 23:51:09,roydns.xyz,118,1754331662.154975,1754331662.155241,1754331662.162992,,,,,,1754331662.374858,,,1754331662.374870,1754331662.376474,1754331662.376477,221.55,SUCCESS
2025-08-04 23:51:10,roydns.xyz,119,1754331665.599143,1754331665.599414,1754331665.606402,,,,,,1754331665.891057,,,1754331665.891068,1754331665.893104,1754331665.893113,294.05,SUCCESS
2025-08-04 23:51:13,roydns.xyz,120,1754331669.108836,1754331669.109130,1754331669.112988,,,,,,1754331669.340180,,,1754331669.340190,1754331669.341818,1754331669.341821,233.03,SUCCESS
2025-08-04 23:51:19,roydns.xyz,121,1754331672.541898,1754331672.542105,1754331672.549773,,,,,,1754331672.815861,,,1754331672.815874,1754331672.818130,1754331672.818234,276.40,SUCCESS
2025-08-04 23:51:20,roydns.xyz,122,1754331676.015180,1754331676.015517,1754331676.023587,,,,,,1754331676.287302,,,1754331676.287316,1754331676.289381,1754331676.289384,274.26,SUCCESS
2025-08-04 23:51:26,roydns.xyz,123,1754331679.496624,1754331679.496789,1754331679.500912,,,,,,1754331679.723020,,,1754331679.723031,1754331679.725745,1754331679.725757,229.21,SUCCESS
2025-08-04 23:51:27,roydns.xyz,124,1754331682.919923,1754331682.920132,1754331682.927783,,,,,,1754331683.193008,,,1754331683.193019,1754331683.194747,1754331683.194750,274.88,SUCCESS
